Area,Quartos,Banheiros,Vagas,Bairro,Preco
231,2,1,0,Centro,6631.289492796081
299,5,2,2,Dornelas,8917.775704131474
244,1,3,3,Aeroporto,6628.702538299106
281,1,2,0,Porto,7106.898887355633
219,1,4,0,Porto,6706.026379063873
242,1,3,0,Centro,7101.72292888368
237,1,1,0,Barra,6074.498997658492
266,5,1,0,Centro,8107.862319264522
82,3,1,0,Dornelas,3498.373244907987
246,2,1,3,Barra,6544.032103293321
281,1,2,2,Dornelas,7338.883502967611
217,3,2,0,Aeroporto,6680.722192127049
70,3,1,1,Dornelas,3431.5017295426737
186,2,1,3,Aeroporto,5609.154005156245
44,5,1,3,Aeroporto,3505.04045093128
94,4,2,0,Dornelas,4756.034147393251
38,4,1,3,Dornelas,3816.489728840516
158,3,1,0,Aeroporto,5464.695058362034
165,2,4,2,Barra,5760.238697399987
92,4,4,2,Aeroporto,4813.906122186774
168,3,1,3,Porto,5230.839362644802
110,5,3,3,Aeroporto,5669.2336065295685
192,4,1,1,Barra,5798.055112183016
290,3,4,3,Porto,8704.193890940658
260,3,3,1,Centro,7525.674368091789
70,1,3,2,Centro,3502.783293315326
57,5,1,2,Barra,3580.6843922375747
164,1,4,0,Aeroporto,4978.031184831046
230,2,4,2,Dornelas,7065.219324212755
297,1,3,1,Barra,7702.932801268731
62,1,1,3,Porto,3198.333477945077
77,4,2,0,Porto,3513.78430173437
91,3,2,1,Centro,4275.135356753467
245,5,4,3,Porto,8554.48978807639
128,1,2,0,Barra,3981.700908871651
201,5,4,2,Porto,7040.5202773130995
243,1,4,1,Barra,6902.368843704938
64,2,4,3,Dornelas,4324.931302090177
256,1,2,0,Centro,6918.526907738339
130,4,4,0,Porto,5117.1964263481
160,3,3,2,Barra,5870.96916279701
286,2,1,3,Aeroporto,7394.426962540894
34,1,1,2,Centro,2700.339877610737
247,5,4,2,Dornelas,8392.151826925441
284,2,1,3,Barra,7653.047882215279
236,2,2,3,Dornelas,6860.353550388192
44,1,2,3,Dornelas,2758.3297694291355
71,2,1,1,Porto,3253.7043340864775
208,5,2,3,Porto,7417.245125622266
92,2,1,0,Barra,3280.673063242801
260,5,1,2,Aeroporto,7864.596675887871
270,1,1,1,Barra,6378.243245349483
81,3,4,3,Aeroporto,4273.8455673357
125,2,1,1,Dornelas,4342.235266782274
251,3,4,3,Centro,7892.579145754542
260,5,1,1,Barra,7465.873406302601
266,2,1,2,Barra,7053.0551108827785
172,4,1,2,Aeroporto,5813.048182081593
200,3,2,0,Dornelas,6103.167745398407
58,2,4,0,Dornelas,2900.442191668757
65,3,4,3,Aeroporto,3569.8249618412333
42,2,1,2,Dornelas,2688.2837055357063
189,1,1,1,Porto,5344.421646513388
216,3,2,1,Centro,6033.123789318692
272,4,2,1,Barra,7765.067455962092
115,4,2,0,Centro,4668.438035870645
95,5,4,1,Barra,5347.084444552112
199,2,4,0,Porto,6033.744547071784
74,3,4,0,Dornelas,4125.747246185232
91,5,1,3,Aeroporto,4555.3142850218655
163,3,4,1,Porto,5277.3583800482
57,2,3,1,Centro,3682.0518041579344
137,4,3,2,Aeroporto,5493.849126364072
73,1,2,3,Dornelas,3687.0671599186476
157,4,4,2,Porto,7071.559426609082
260,5,3,3,Aeroporto,7778.971765125353
219,1,2,1,Porto,6461.1741624402775
254,5,4,0,Porto,7908.138120149911
150,2,1,0,Dornelas,4771.832226100752
145,1,3,0,Barra,4638.62193867469
262,5,1,0,Aeroporto,7383.940916650489
288,2,4,0,Dornelas,7917.54176794031
227,4,3,2,Porto,7372.377183893253
166,2,4,3,Dornelas,5690.7065758320805
194,3,1,1,Barra,6067.6447918804415
254,2,3,2,Aeroporto,7175.951398778687
263,2,1,3,Barra,7027.482665239911
201,3,4,0,Centro,6557.496785501046
181,5,4,3,Aeroporto,7234.287304215643
189,5,1,3,Barra,6446.166228245944
125,2,3,0,Porto,4539.613404552405
262,3,1,0,Aeroporto,6807.260931071131
209,3,4,0,Aeroporto,6719.480462480905
142,4,1,1,Dornelas,5361.376934697551
81,5,4,0,Porto,4982.1522083241025
297,1,1,1,Centro,7596.109013625196
142,5,3,0,Barra,5757.163701189476
130,5,3,1,Dornelas,5624.516884884736
142,4,1,3,Barra,5713.9679454657535
110,1,1,2,Centro,3870.2919030978173
216,4,3,3,Centro,7656.25132821932
142,1,4,3,Aeroporto,5091.325675970829
31,2,3,0,Centro,2803.9529557228757
159,1,4,1,Barra,5302.9381211120935
249,4,1,2,Porto,7393.060099106669
83,5,1,0,Porto,3930.9427392195103
253,1,4,0,Aeroporto,6963.678295792632
254,1,1,0,Barra,6824.529514390546
155,3,4,3,Barra,6246.362421403805
159,5,2,1,Centro,6297.288648124224
82,2,3,1,Barra,3676.1151184940322
201,4,2,2,Dornelas,6497.689792942919
247,2,4,1,Centro,7728.825139559438
189,5,3,1,Dornelas,6999.011698132448
227,1,4,0,Aeroporto,6758.1676689377455
276,1,3,0,Porto,7069.004843507692
232,5,3,3,Aeroporto,7682.612836159913
213,1,3,0,Porto,5550.1289593686415
152,1,3,0,Aeroporto,4591.882223484782
284,1,4,0,Barra,7879.142627644862
127,4,3,0,Dornelas,5023.37615519295
227,4,3,3,Porto,7600.119948800206
269,3,2,0,Centro,7582.3742235005475
173,2,1,2,Dornelas,5541.01425705539
126,5,1,2,Centro,5083.077152546083
230,5,2,2,Dornelas,7571.302362408475
153,5,2,2,Dornelas,5262.216007274819
216,3,4,0,Aeroporto,6623.275960459504
288,4,4,2,Porto,8302.381689071215
177,3,4,0,Porto,6241.498629136704
281,5,2,3,Dornelas,8914.351838191127
176,2,2,2,Barra,5736.667745491521
177,1,3,1,Barra,5820.251556789845
228,4,4,2,Centro,7522.770869793791
157,4,4,2,Centro,6776.8407994788895
68,3,4,0,Aeroporto,3943.0478910650963
158,4,1,2,Dornelas,5600.861178195263
296,5,3,1,Centro,9303.905036795735
180,5,4,0,Centro,6473.4266218970915
128,3,4,0,Dornelas,4903.871459618082
292,5,4,3,Aeroporto,8987.852569190074
281,2,1,3,Centro,7737.755572983996
173,3,1,2,Aeroporto,5245.860589309937
141,2,2,3,Porto,5325.770766773831
89,1,3,3,Aeroporto,3815.286399907542
31,2,2,3,Barra,2958.12624208922
283,1,3,0,Barra,7267.41215839658
169,1,1,0,Aeroporto,4174.84917486287
66,2,4,0,Barra,3587.5143395978557
189,3,2,3,Porto,5751.936256145056
38,5,4,0,Dornelas,3792.841488478633
262,5,2,3,Barra,7897.921240291797
128,1,1,0,Barra,4406.818999807702
176,1,1,0,Aeroporto,4997.840680543681
237,3,1,1,Porto,6716.43844781787
160,4,2,2,Dornelas,6215.926669413667
181,2,3,3,Aeroporto,5758.421005633566
83,1,2,1,Aeroporto,3395.8698446675235
149,5,3,0,Porto,5729.952608429679
190,3,2,3,Dornelas,6466.005020333418
145,2,2,0,Porto,4968.088375026692
104,3,1,2,Dornelas,4513.12302569495
142,2,4,1,Porto,5212.180915706256
133,2,4,2,Aeroporto,4646.278140942926
283,1,3,1,Aeroporto,7219.988426180134
256,3,4,0,Centro,7739.322766601069
141,3,2,2,Barra,5193.343093569163
128,5,2,2,Porto,5077.449068831519
182,5,1,0,Centro,6792.919168894605
223,1,1,2,Barra,6489.098513813393
192,1,4,3,Porto,6340.529580098121
237,4,3,1,Dornelas,7508.009215320936
198,5,4,1,Barra,7006.947757524712
190,2,4,1,Aeroporto,5812.020384994441
97,3,4,3,Centro,5059.370129629716
164,1,4,1,Barra,5444.438135035688
224,3,2,0,Barra,6219.559856129594
157,3,3,2,Aeroporto,5673.544104311224
62,4,2,3,Porto,3901.185237793813
205,5,3,1,Dornelas,6623.048110530653
51,1,1,0,Aeroporto,2054.9037473051244
267,3,4,2,Dornelas,8086.598616644589
187,1,2,2,Porto,6011.921914335047
67,2,3,3,Barra,3929.1382811334397
259,4,1,3,Dornelas,7496.129607725027
80,2,1,3,Centro,3971.5090723544095
293,1,4,0,Centro,7623.174002765409
56,1,3,0,Aeroporto,3040.672763471768
255,5,2,3,Porto,7932.218837045531
126,3,4,1,Aeroporto,4996.590952815207
176,3,2,2,Aeroporto,6101.449161885547
33,2,1,2,Aeroporto,2138.2091078539374
64,4,2,0,Centro,3430.720453721752
221,3,2,2,Centro,6824.100168413499
78,5,4,1,Aeroporto,4819.594712754829
46,2,2,2,Centro,2840.1634811307895
201,2,4,0,Porto,5461.961100472357
249,5,1,0,Aeroporto,7117.21028539775
187,4,4,1,Centro,6927.93519997773
75,5,4,1,Dornelas,5000.065437434707
35,4,3,2,Aeroporto,3284.2096594786503
128,5,2,2,Aeroporto,5207.1433482209995
262,5,1,0,Porto,7828.475183563937
66,1,4,1,Barra,2952.564575076145
210,2,1,1,Barra,5852.869806204248
124,5,3,1,Porto,5377.605972481265
128,5,2,2,Porto,5472.304680321258
217,3,4,1,Porto,6762.548326702279
145,2,2,0,Barra,4708.61025292646
220,3,3,0,Porto,5977.918161646752
282,2,3,2,Centro,7975.437896916538
190,3,1,3,Aeroporto,6113.377178138617
285,5,4,2,Aeroporto,8604.42649143633
157,5,1,3,Dornelas,6054.7460553974
47,1,3,1,Dornelas,3051.7181252006744
252,3,2,2,Aeroporto,7204.362699785559
83,4,1,0,Centro,4002.6159427491425
87,1,1,1,Barra,2999.316858678847
203,3,2,0,Barra,6058.347180075988
143,3,1,1,Centro,5212.554042397305
180,1,2,2,Barra,5489.243240242108
156,5,4,3,Porto,6323.367182609016
184,3,2,1,Aeroporto,5836.054101072698
133,5,4,3,Aeroporto,6138.652447659155
275,1,2,1,Centro,6887.514680355631
205,5,3,0,Barra,7139.768516238974
68,2,3,0,Dornelas,3375.936315329732
199,4,4,1,Dornelas,7036.372483310058
276,3,4,3,Barra,8719.311730911308
55,4,3,2,Dornelas,3657.0815756923835
42,5,4,2,Centro,4112.639749393114
65,3,2,0,Centro,3477.862826031074
202,5,2,2,Barra,6694.061619718893
49,2,3,0,Dornelas,3513.734143959202
293,1,1,2,Centro,7495.806976543302
171,3,2,1,Centro,5681.113305128283
172,2,4,0,Porto,5641.097257900744
121,2,1,0,Porto,3669.4626184809777
244,3,1,1,Centro,6981.079822060934
80,5,2,0,Barra,4229.363315312544
182,2,2,2,Aeroporto,5556.784898904372
215,4,1,2,Aeroporto,6576.653285275013
92,2,1,0,Centro,3507.6669718879075
219,5,3,2,Centro,7251.382422704808
154,5,4,3,Centro,6760.398302834809
179,4,3,0,Barra,6518.733267911811
87,2,2,1,Porto,3644.6004076958598
209,5,3,3,Centro,7636.316029311887
199,3,3,0,Centro,6603.1806887792145
83,1,3,1,Dornelas,3342.667375863325
130,1,3,2,Barra,5075.628664532402
293,1,4,1,Centro,8210.5821991057
82,2,4,3,Dornelas,4797.964224772277
89,4,1,2,Aeroporto,3896.741751119003
137,5,2,0,Centro,5944.515480639457
34,3,3,2,Centro,3623.788873508696
132,3,1,0,Dornelas,4728.260021463089
225,2,1,0,Barra,6158.506113588287
291,1,1,1,Centro,7457.867845481388
76,2,4,1,Aeroporto,4070.132914618468
173,4,3,1,Centro,6345.089967462011
298,4,3,3,Aeroporto,8318.232574103213
153,5,2,3,Porto,5730.703384573249
135,5,3,1,Porto,5503.538561951813
187,4,3,3,Aeroporto,6667.499745791389
176,4,1,2,Barra,5905.852877775026
174,4,2,2,Centro,6584.742697448416
149,2,3,3,Centro,5142.224533990344
121,4,4,3,Porto,5555.89698412629
87,3,3,2,Aeroporto,3735.5051936532113
258,1,1,0,Centro,6899.928073871042
146,4,4,2,Centro,6096.385321389499
156,1,1,2,Barra,4874.9024930060295
158,2,3,3,Dornelas,5494.029259852558
87,1,4,2,Porto,4259.866232914438
151,2,2,3,Porto,5480.431166014713
30,3,2,3,Dornelas,3345.886075752972
268,2,4,1,Centro,7877.62068828414
125,2,4,2,Barra,5144.964321323783
155,5,1,0,Barra,5273.2768580031625
147,4,4,1,Porto,5953.888914755178
77,4,1,3,Barra,4502.370223580981
118,3,3,3,Dornelas,5427.652639994796
266,3,1,0,Centro,7187.599382548147
218,4,4,3,Dornelas,7700.354329318276
221,5,4,2,Aeroporto,7246.714614060338
98,4,3,1,Porto,4703.097577793919
276,5,4,3,Barra,9032.650853215635
105,3,4,3,Aeroporto,4432.545915116959
183,1,2,0,Barra,4919.554039021909
173,3,2,2,Centro,5939.215275814058
115,3,3,3,Centro,5124.785063214794
214,2,1,0,Centro,5777.630766145298
249,2,2,3,Barra,7327.244682338046
98,2,1,0,Aeroporto,3522.868402235128
76,2,4,0,Centro,3871.4327170053703
123,5,2,2,Aeroporto,5021.052124960409
267,4,3,3,Barra,8552.176781604141
233,1,3,2,Aeroporto,7023.851778272074
247,3,3,0,Barra,7069.109629038366
68,5,2,1,Barra,3906.958270711295
129,1,1,3,Porto,4452.801916352999
283,5,4,1,Barra,8670.492655063254
251,5,1,3,Barra,7785.150699834191
52,3,1,2,Dornelas,3474.913287931168
279,4,4,2,Centro,8302.660978123176
39,2,4,2,Porto,3559.5755812131674
275,4,2,2,Porto,8068.1701310823355
129,3,2,2,Porto,4777.126713859455
209,3,2,1,Dornelas,6457.691461444638
252,3,2,2,Barra,7380.60733875513
279,1,2,0,Centro,6897.199674138768
176,4,4,0,Aeroporto,6493.734556863309
125,4,1,1,Barra,4760.331408067655
286,5,2,3,Dornelas,8930.750532611844
33,5,2,0,Barra,3447.887442643511
45,5,1,3,Barra,3444.709385609925
276,3,2,1,Dornelas,7938.367974758807
287,4,1,3,Porto,8173.089727275302
189,3,1,3,Porto,6241.692693804123
181,1,4,3,Centro,5688.193144912126
207,5,3,3,Centro,7515.226424939683
192,3,4,1,Porto,6239.2948360540095
62,3,3,0,Aeroporto,3498.0657376585386
208,1,3,2,Barra,6327.511046842051
130,2,3,3,Aeroporto,4773.093526294493
297,4,2,0,Barra,8061.9565339559895
94,2,4,0,Porto,4002.3336578606677
197,5,3,1,Centro,6815.839443171198
72,3,1,0,Centro,3700.4959238630317
73,1,2,1,Aeroporto,2967.6981998881383
41,1,4,3,Centro,2693.2529451695896
124,4,3,3,Porto,5286.294485844548
282,2,1,2,Aeroporto,7180.364044789007
271,4,4,2,Barra,8012.181046134763
64,3,4,2,Centro,3920.643340444357
244,4,2,0,Dornelas,7307.352117958242
119,1,4,3,Centro,5312.160207062057
293,1,2,1,Barra,7638.296118466245
122,5,3,2,Aeroporto,5238.374152946065
119,5,2,1,Barra,5193.976048792676
144,3,1,1,Dornelas,4865.227422445252
134,2,2,2,Porto,4556.349907709214
225,4,1,3,Centro,6961.409332941754
143,3,2,2,Aeroporto,4672.04279831207
104,5,4,1,Porto,5032.5190733601385
246,4,3,2,Barra,7759.513372480033
278,5,1,1,Aeroporto,7935.844082496277
193,4,2,1,Porto,6156.00826801316
221,2,2,2,Aeroporto,6183.563484825805
256,3,2,0,Dornelas,7422.061547921242
206,4,4,2,Dornelas,6890.717020013354
128,1,4,0,Centro,4904.006978460869
65,1,1,1,Centro,2749.4457452683187
125,4,1,1,Dornelas,4661.891190661741
181,4,4,0,Aeroporto,5853.303702346081
180,4,1,1,Dornelas,5824.649463278591
219,1,3,0,Centro,6573.828114619495
253,1,3,0,Dornelas,7038.907022110989
66,4,4,1,Dornelas,4514.605528007009
297,5,1,3,Aeroporto,8770.535636483484
212,5,2,0,Porto,6464.082542867408
42,2,3,2,Centro,3257.302693918111
246,3,4,2,Aeroporto,7374.950217720634
91,5,1,1,Dornelas,4752.64372600976
113,1,4,3,Dornelas,4460.8028383934225
246,5,2,1,Porto,7793.424422347278
216,2,3,3,Centro,7193.238467527192
48,2,4,0,Centro,3817.4050504290217
206,3,4,0,Barra,6467.578351842626
129,5,4,0,Centro,5908.080539895041
262,1,2,0,Porto,7310.412959134711
105,1,4,2,Barra,4195.589580766576
294,4,2,2,Barra,8096.23993811691
235,1,2,1,Dornelas,6029.997491523059
252,3,2,3,Dornelas,7818.178007215332
81,3,3,0,Centro,3599.212447985354
173,1,3,0,Barra,5116.920236765519
98,1,4,3,Dornelas,4569.328296759741
128,4,4,3,Porto,5706.293884207478
54,1,3,1,Dornelas,3186.361216046043
82,4,1,3,Dornelas,4345.572463950213
180,4,3,0,Barra,6419.7164533283485
173,1,2,0,Barra,4771.920904815301
86,2,3,0,Aeroporto,3450.7512153853672
68,2,2,0,Porto,2916.835138682294
138,4,4,0,Barra,5667.547952965652
210,1,1,1,Centro,6125.099647098766
71,2,4,0,Porto,3682.806329829627
215,1,2,1,Porto,6245.873416722482
252,1,2,0,Barra,6295.489783155905
151,1,2,2,Porto,5236.806027887784
162,5,1,2,Barra,6270.809655428065
192,1,3,2,Dornelas,6173.905499311437
244,5,4,2,Aeroporto,8475.449727192765
250,4,4,1,Dornelas,7535.844198080556
264,2,3,1,Barra,7298.887965934337
175,2,4,3,Barra,5966.174134829512
268,2,1,0,Dornelas,7240.369830939336
105,2,4,2,Centro,4537.4648150994635
38,2,2,1,Centro,3099.373787334371
103,2,3,0,Centro,4602.634035999178
282,2,1,0,Barra,7413.800725020999
259,4,3,1,Porto,7850.937755915375
36,1,1,2,Barra,2123.0316647748127
203,3,2,3,Porto,6298.287258468659
170,5,3,0,Dornelas,6562.404726324166
197,3,4,3,Aeroporto,6934.837250976333
199,3,1,2,Porto,6070.245120155614
151,1,3,2,Centro,5165.522613558527
223,1,4,3,Barra,6353.548031722155
34,1,3,2,Dornelas,2562.2868953288903
58,2,3,0,Centro,3837.854771784931
194,4,3,3,Dornelas,6609.886107249384
165,2,1,2,Aeroporto,5147.36995530527
174,4,4,3,Barra,6881.860993298799
246,4,2,0,Barra,6906.269332999427
161,3,1,2,Aeroporto,5316.177618695271
99,3,1,0,Barra,4064.4788843776637
281,4,1,2,Porto,7973.124830476812
211,4,2,1,Dornelas,7487.100763916692
196,2,4,2,Centro,6202.850185280451
120,2,4,3,Aeroporto,5214.68213247097
231,3,4,2,Porto,7276.799565650884
48,1,3,0,Centro,3102.9800387091686
68,4,3,0,Centro,4170.3267879248115
155,2,3,2,Aeroporto,5116.7109507225005
202,3,2,3,Porto,6547.249098114835
170,2,3,1,Centro,5285.524637150428
271,4,2,3,Centro,8520.811875142848
249,4,4,1,Porto,7854.539616497632
155,5,3,0,Barra,6009.665042160776
87,1,3,3,Centro,4404.529581271788
177,5,1,1,Dornelas,6231.904960052428
30,3,2,2,Porto,2937.022354949569
219,2,4,0,Centro,6559.7329158346765
220,3,1,2,Aeroporto,6271.944809087738
146,4,1,0,Dornelas,5416.683655044333
163,5,4,3,Centro,7219.083851426494
87,5,1,3,Dornelas,4580.4723909219865
73,5,2,0,Dornelas,4121.500686813319
202,3,2,0,Barra,5863.846406251559
189,4,3,0,Dornelas,6673.1892113168615
202,2,1,3,Barra,6256.354205922945
178,2,3,1,Porto,6145.304359115938
109,3,1,2,Barra,4110.419230705065
242,5,2,2,Aeroporto,7495.498025245446
232,1,2,3,Centro,6897.861480631393
281,3,2,2,Porto,8081.622384431443
258,3,1,0,Porto,6906.083090613092
193,4,2,1,Aeroporto,5991.759727386575
256,2,1,2,Barra,7240.351882230892
176,3,3,1,Centro,6300.283840636395
49,3,1,0,Barra,2600.9314748590687
76,5,3,2,Dornelas,5008.860700276374
262,5,1,3,Barra,8332.54967729915
43,1,3,1,Porto,2743.5741243119483
172,4,2,0,Centro,5959.899465594009
30,1,3,1,Barra,2638.514442778977
83,5,2,2,Centro,4494.574232435935
288,2,2,2,Centro,8067.50786979102
173,5,3,3,Dornelas,6221.904113847705
41,4,1,0,Dornelas,3239.113911375734
253,5,1,0,Porto,6969.626694389535
185,4,4,3,Aeroporto,7125.85495710725
37,4,1,3,Centro,3407.4699765083874
151,4,4,0,Aeroporto,5567.083254517206
193,4,1,1,Porto,5903.066523478874
119,4,1,1,Centro,4757.990281519481
165,2,2,3,Centro,6104.632836287009
215,1,4,1,Aeroporto,5678.04783586623
207,3,1,0,Barra,6309.241346522047
57,1,4,2,Dornelas,3574.5058702754272
249,4,2,2,Barra,7278.244588035696
70,2,2,1,Aeroporto,2981.1719017376904
257,5,4,3,Dornelas,9059.09825680205
221,2,2,3,Barra,6433.623280014317
174,4,3,3,Dornelas,6241.66237235101
230,2,3,3,Centro,7534.328635591182
241,2,2,3,Barra,7154.6382190714785
249,4,3,1,Dornelas,7495.5186058659
269,2,1,2,Dornelas,7434.156243851155
75,3,4,2,Dornelas,4093.5618290899306
64,3,1,1,Barra,3555.2053496056515
282,2,4,3,Porto,8505.342741218283
111,5,2,1,Barra,5053.001549705486
285,4,1,2,Aeroporto,8090.415265311754
226,3,2,0,Barra,7010.297031216844
39,5,2,1,Dornelas,3579.921581847056
271,2,4,3,Centro,7974.5314686448
280,5,4,2,Barra,8962.368478208076
34,1,4,2,Barra,3451.5117623842784
148,3,1,2,Dornelas,4956.310126703537
94,2,3,2,Centro,4289.634308326504
175,4,4,3,Centro,6954.1115095253635
253,2,4,0,Aeroporto,7146.523787748565
268,4,1,2,Barra,7514.424104905671
206,2,4,1,Centro,6950.464464057618
296,5,1,0,Centro,9050.010180504314
92,5,2,2,Porto,4689.032864755977
246,5,4,0,Porto,7593.9829275659995
206,1,4,1,Centro,6032.759868736632
127,4,2,2,Aeroporto,5104.493995305295
134,5,2,1,Centro,5855.969335829064
128,1,2,3,Dornelas,4778.791936623846
35,4,4,2,Barra,3699.3990397702864
226,2,3,2,Aeroporto,6572.6820870526735
162,1,3,2,Dornelas,5116.959091820478
288,3,3,2,Aeroporto,8418.687831581221
52,1,4,3,Dornelas,3768.4429053463964
82,1,2,2,Barra,3103.5675533273165
194,4,4,0,Barra,6977.459744545171
231,2,2,2,Porto,6813.517805223501
112,3,4,3,Dornelas,5589.898661286448
174,5,4,2,Porto,6344.468062878721
114,5,2,0,Dornelas,4588.543961146141
107,1,3,3,Porto,4252.757672558176
30,4,2,3,Barra,3475.6961067237985
80,4,1,0,Aeroporto,4049.0902057317408
202,5,1,0,Porto,6516.519728453783
234,3,2,0,Dornelas,6769.329680796992
289,2,4,0,Dornelas,7823.407698083527
63,3,1,0,Barra,3417.5001431797873
124,2,1,3,Dornelas,4388.823643562321
101,5,4,3,Centro,6027.11713869308
68,2,4,2,Aeroporto,3688.903837598373
183,4,3,2,Porto,6807.6455181544625
279,1,4,1,Aeroporto,7749.732822514819
191,1,2,2,Barra,5635.751127639385
147,5,2,2,Porto,5610.150907043469
288,4,3,0,Porto,8124.77303066348
297,3,1,0,Centro,8097.079173093809
83,4,1,2,Barra,4079.289124054429
265,1,4,1,Dornelas,7351.547147982824
251,1,2,0,Centro,6728.592147420592
280,4,1,2,Centro,8219.644257429787
141,4,3,2,Aeroporto,4987.816476396297
284,1,3,3,Aeroporto,7894.542028697175
236,3,2,1,Aeroporto,6575.069693820798
258,5,3,3,Centro,8271.666899198564
95,5,3,1,Dornelas,4478.163913222323
104,4,2,0,Porto,3881.5268755330276
132,5,4,1,Aeroporto,5301.138124221928
221,1,4,2,Dornelas,6592.744760592377
281,1,3,2,Barra,8158.314784381642
255,4,4,1,Aeroporto,7718.530081026199
127,4,4,1,Porto,5384.437526567008
278,4,3,1,Barra,8310.120346626582
195,3,4,3,Barra,6832.766296553962
59,5,3,1,Porto,4010.6391348185016
276,4,1,0,Aeroporto,7221.176559100189
135,2,2,3,Centro,5512.731887069803
80,2,2,3,Porto,4251.7991609094715
110,1,4,1,Porto,3829.3353264693287
162,5,4,0,Porto,5883.992852278405
167,4,4,3,Barra,6420.047414405749
213,2,2,2,Dornelas,6218.865551272452
98,5,1,3,Centro,5086.4913883639665
63,1,1,1,Aeroporto,2477.9319493983467
291,3,2,0,Aeroporto,8311.26401695165
82,5,1,1,Dornelas,4537.637148585899
234,5,2,2,Porto,7533.143507658054
155,3,1,2,Centro,5706.746565829933
264,5,3,2,Aeroporto,8506.475106089327
72,1,3,1,Aeroporto,3099.013127985439
269,1,2,3,Porto,7125.945688864509
140,3,1,1,Dornelas,4919.535765742412
278,4,4,0,Centro,8675.409031124485
180,2,1,3,Dornelas,5784.765099663355
212,4,3,2,Dornelas,6745.750879452251
124,5,3,1,Centro,5379.29388901229
37,2,1,2,Centro,2821.5067841014056
213,3,1,2,Aeroporto,6291.0835989185425
224,3,4,0,Aeroporto,7323.135544197452
224,2,4,3,Centro,6983.50301440025
184,1,1,0,Barra,5156.397310458969
122,2,1,0,Aeroporto,4312.278277082072
189,5,1,0,Barra,6697.862436355699
90,1,1,2,Centro,3548.9006442040095
151,3,2,0,Aeroporto,5092.85736318005
80,2,1,0,Dornelas,3442.440089299662
34,4,4,3,Centro,4078.8704328883227
121,4,3,3,Porto,5295.288699690173
199,5,2,0,Barra,6638.993847375012
51,4,1,3,Centro,3136.9384786950786
30,2,3,3,Centro,3420.517372515658
162,2,2,0,Aeroporto,4971.544475915492
262,4,3,2,Aeroporto,7884.381275805434
41,2,1,0,Aeroporto,2831.7155489298893
75,5,1,3,Porto,4081.266495302362
63,1,4,2,Aeroporto,3309.231002733742
107,5,1,1,Centro,5337.888325551184
247,5,1,2,Aeroporto,7281.984673787536
102,2,2,3,Dornelas,4252.471179265865
278,1,4,2,Aeroporto,7673.243644142288
76,2,2,0,Porto,3480.1836205323875
150,3,3,1,Dornelas,5551.950626838328
243,2,1,1,Centro,6486.843663211935
268,2,3,1,Centro,7576.957859218202
85,2,2,3,Barra,3798.1613916969472
136,1,1,3,Dornelas,4600.694738694238
77,2,1,1,Barra,3396.460914657457
90,1,2,2,Dornelas,3854.551438971993
55,4,2,1,Dornelas,3205.9970614878994
286,3,2,2,Porto,8285.985246890214
37,1,2,2,Barra,2653.142211499156
142,4,2,3,Porto,5886.133011898477
282,1,1,2,Dornelas,7501.049581822668
