ITEM;DESTINATARIO_DOACAO;CNPJ_DESTINATARIO_DOACAO;DATA_ENTREGA;CIDADE_DESTINATARIO;PRODUTO;QUANTIDADE;UNIDADE_MEDIDA;VALOR_UNITARIO;VALOR_TOTAL
62;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;REFRIGERADOR DOMEST 1 PORTA 300L 127V BR;36;UN;622,68;22416,48
63;HOSPITAL DECAMPANHA-GAMELEIRA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;REFRIGERADOR DOMEST 2 PORTAS 441L 127V;2;UN;1003,06;2006,12
64;PREFEITURA DE MONTESCLAROS;22.678.874/0001-35;2020-05-23;MONTES CLAROS;ACTIVIA SHOT MATCHA LF 100G;5520;UN;0,84;4636,8
65;PREFEITURA DE MONTESCLAROS;22.678.874/0001-35;2020-05-23;MONTES CLAROS;YOPRO LIQUIDO DOCE DE LEITE 250G;7060;UN;1,869;13195,14
66;PREFEITURA DE MONTESCLAROS;22.678.874/0001-35;2020-05-23;MONTES CLAROS;YOPRO LIQUIDO MORANGO 250G;10620;UN;1,869;19848,78
67;PREFEITURA DE MONTESCLAROS;22.678.874/0001-35;2020-05-23;MONTES CLAROS;ACTIVIA POLPA CHIA 400G;1680;UN;1,65;2772
68;PREFEITURA DE MONTESCLAROS;22.678.874/0001-35;2020-05-23;MONTES CLAROS;DANONE GREGO FRUTAS VERMELHAS 400G;2784;UN;2,812;7828,608
69;PREFEITURA DE MONTESCLAROS;22.678.874/0001-35;2020-05-23;MONTES CLAROS;DANONE 800G LIGHT ORI/MOR;720;UN;3,624;2609,28
70;PREFEITURA DE MONTESCLAROS;22.678.874/0001-35;2020-05-23;MONTES CLAROS;YOPRO COCO CREMOSO 160G;9600;UN;1,566;15033,6
71;PREFEITURA DE MONTESCLAROS;22.678.874/0001-35;2020-05-23;MONTES CLAROS;ACTIVIA ORIGINAL LEITE FERM MEL 400G;1056;UN;1,65;1742,4
72;PREFEITURA DE MONTESCLAROS;22.678.874/0001-35;2020-05-23;MONTES CLAROS;ACTIVIA SMOOTHIE MANGA 250G;1760;UN;1,99;3502,4
73;PREFEITURA DE TEOFILOOTONI;18.404.780/0001-09;2020-05-23;TEOFILO OTONI;CORPUS LIG LIMAO E MATCHA 170G;4020;UN;0,926;3722,52
74;PREFEITURA DE TEOFILOOTONI;18.404.780/0001-09;2020-05-23;TEOFILO OTONI;YOPRO LIQUIDO MORANGO 250G;15820;UN;1,869;29567,58
75;PREFEITURA DE TEOFILOOTONI;18.404.780/0001-09;2020-05-23;TEOFILO OTONI;YOPRO LIQ 15G CAFE EXPRESSO 250G;3400;UN;1,869;6354,6
76;PREFEITURA DE TEOFILOOTONI;18.404.780/0001-09;2020-05-23;TEOFILO OTONI;PHILADELPHIA POTE LIGHT 300G;1630;UN;6,847;11160,61
77;PREFEITURA DE TEOFILOOTONI;18.404.780/0001-09;2020-05-23;TEOFILO OTONI;YOPRO MORANGO 160G;16980;UN;1,566;26590,68
78;CORPODEBOMBEIROSMILITARDEMINASGERA;03.389.126/0001-98;2020-05-23;BELO HORIZONTE;LUVA DESC NITRIL AZ G CX C/300 VLI;21000;UN;0,27;5670
79;SECRETARIA GERAL;13.235.618/0001-82;2020-05-23;BELO HORIZONTE;MASCARA DE PROTECAO;500;UN;4,39;2195
80;UPA III24HORASPADRELAZAROPEREIRACR;18.715.516/0001-88;2020-05-23;SABARA;MASCARA CIRURGICA;1000;UN;0,01;10
81;SAMU-IPATINGA;18.715.516/0001-88;2020-05-23;IPATINGA;LUVA SEG 250MM LATEX NITRILICO M FIAT;200;UN;0,22;44
82;SAMU-IPATINGA;18.715.516/0001-88;2020-05-23;IPATINGA;LUVA SEG 250MM LATEX NITRILICO P FIAT;300;UN;0,21;63
83;SAMU-IPATINGA;18.715.516/0001-88;2020-05-23;IPATINGA;MACACAO CAPUZ TYVEK G FIAT;50;UN;28,67;1433,5
84;HOSPITAL EDUARDODEMENEZES;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;16;UN;15,37;245,92
85;CISRU- CONSÓRCIO INTERMUNICIPAL  DA REDE;18.715.516/0001-88;2020-05-23;BARBACENA;LUVA SEG 250MM LATEX NITRILICO M FIAT;600;UN;0,22;132
86;CISRU- CONSÓRCIO INTERMUNICIPAL  DA REDE;18.715.516/0001-88;2020-05-23;BARBACENA;LUVA SEG 250MM LATEX NITRILICO P FIAT;900;UN;0,21;189
87;CISRU- CONSÓRCIO INTERMUNICIPAL  DA REDE;18.715.516/0001-88;2020-05-23;BARBACENA;MACACAO CAPUZ TYVEK G FIAT;50;UN;28,67;1433,5
88;CISRU- CONSÓRCIO INTERMUNICIPAL  DA REDE;18.715.516/0001-88;2020-05-23;BARBACENA;MACACAO CAPUZ TYVEK M FIAT;250;UN;28,67;7167,5
89;CISRU- CONSÓRCIO INTERMUNICIPAL  DA REDE;18.715.516/0001-88;2020-05-23;BARBACENA;MACACAO CAPUZ EM TYVEK XXL FIAT;40;UN;28,67;1146,8
90;CISRU- CONSÓRCIO INTERMUNICIPAL  DA REDE;18.715.516/0001-88;2020-05-23;BARBACENA;MACACAO CAPUZ TYVEK XXXL FIAT;60;UN;28,67;1720,2
91;SANTA CASA DE MISERICORDIA DE BARBACENA;18.715.516/0001-88;2020-05-23;BARBACENA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;6;UN;0,001;0,006
92;IMAIP-HOSPITAL POLICLÍNICAEMATERNIDA;18.715.516/0001-88;2020-05-23;BARBACENA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;6;UN;0,001;0,006
93;HOSPITAL REGIONALDEBARBACENA;18.715.516/0001-88;2020-05-23;BARBACENA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;6;UN;0,001;0,006
94;HEMOMINAS;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;ALCOOL GEL AMBEV PET 190G CX C/21;5670;UN;0,43;2438,1
95;UPA III24HORASPADRELAZAROPEREIRACR;18.715.516/0001-88;2020-05-23;SABARA;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
96;UPA SÃOBENEDITO;18.715.516/0001-88;2020-05-23;CONTAGEM;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
97;UPA UNIDADEXVI UPA XVIUNIDADEXVI UPA;18.715.516/0001-88;2020-05-23;UBERABA;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
98;UPA PETROLÂNDIA;18.715.516/0001-88;2020-05-23;CONTAGEM;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
99;HOSPITAL MUNICIPAL DEIPATINGA;18.715.516/0001-88;2020-05-23;IPATINGA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
100;HOSPITAL MÁRCIOCUNHA;18.715.516/0001-88;2020-05-23;IPATINGA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
101;UPA DR.JUVENALPAIVA;18.715.516/0001-88;2020-05-23;SETE LAGOAS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
102;HOSPITAL NOSSA SENHORA DASGRAÇAS;18.715.516/0001-88;2020-05-23;SETE LAGOAS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
103;HOSPITAL MUNICIPAL MONSENHORFLÁVIOD'AM;18.715.516/0001-88;2020-05-23;SETE LAGOAS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
104;HOSPITAL SANTOANTÔNIO     ;18.715.516/0001-88;2020-05-23;CURVELO;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
105;HOSPITAL IMACULADA CONCEIÇÃO;18.715.516/0001-88;2020-05-23;CAETANOPOLIS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
106;HOSPITAL DR.PACIFÍCOMASCARENHAS;18.715.516/0001-88;2020-05-23;CURVELO;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
107;UPA PADREROBERTROCORDEIROMARTINS;18.715.516/0001-88;2020-05-23;DIVINOPOLIS;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;10000;UN;9,9;99000
108;MINASGERAISSERVIÇOS-MGS;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;ALCOOL GEL AMBEV PET 190G CX C/21;21;UN;0,43;9,03
109;MINASGERAISSERVIÇOS-MGS;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;ALCOOL GLICERINADO 70% - GALÃO 5L;2;LT;2,83;5,66
110;HOSPITAL EMATERNIDADETHEREZINHADEJES;18.715.516/0001-88;2020-05-23;JUIZ DE FORA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
111;HOSPITAL UNIVERSITÁRIOUFJF;18.715.516/0001-88;2020-05-23;JUIZ DE FORA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
112;HOSPITAL REGIONALDR.JOÃOPENIDO;18.715.516/0001-88;2020-05-23;JUIZ DE FORA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
113;HOSPITAL MOZARTGERALDOTEIXEIRA(E UPA;18.715.516/0001-88;2020-05-23;JUIZ DE FORA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
114;HOSPITAL IBIAPABACEBAMS-CENTROBARBACE;18.715.516/0001-88;2020-05-23;BARBACENA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
115;UPA OESTE-BELOHORIZONTE;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
116;UPA NOROESTEIIHOBBELOHORIZONTETEL:;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
117;UPA LESTE-BELOHORIZONTE;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
118;UPA CENTROSUL-BELOHORIZONTE;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
119;UPA 24HORASPREFEITOLUIZISSA;18.715.516/0001-88;2020-05-23;VESPASIANO;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
120;UPA VENDANOVA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
121;FUNED-FUNDAÇÃOEZEQUIELDIAS;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;ALCOOL GEL AMBEV PET 190G CX C/21;504;UN;0,43;216,72
122;UPA BARREIRO;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
123;NOVA UPA JK-CONTAGEM;18.715.516/0001-88;2020-05-23;CONTAGEM;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
124;UPA CELSOMATOSSILVA;18.715.516/0001-88;2020-05-23;ITABIRITO;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
125;UNIDADEAISETEDESETEMBRO;18.715.516/0001-88;2020-05-23;BETIM;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
126;UNIDADEAINILDANOGUEIRADOAANDRADE;18.715.516/0001-88;2020-05-23;BETIM;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
127;UPA TERESÓPOLIS;18.715.516/0001-88;2020-05-23;BETIM;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
128;UNIDADEAIALEXANDRESILVAADINIZALTE;18.715.516/0001-88;2020-05-23;BETIM;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
129;UPA ACRIZIOMENEZES;18.715.516/0001-88;2020-05-23;RIBEIRÃO DAS NEVES;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
130;UPA DR.JUVENALPAIVA;18.715.516/0001-88;2020-05-23;SETE LAGOAS;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
131;UPA RESSACA;18.715.516/0001-88;2020-05-23;CONTAGEM;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
132;UPA PREFEITOOSVALDOCANDIDODEQUEIROZ;18.715.516/0001-88;2020-05-23;IGARAPÉ;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
133;UPA MIGUELHENRIQUEMAIA;18.715.516/0001-88;2020-05-23;SÃO JOAQUIM DE BICAS;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
134;UPA VARGEMDASFLORES;18.715.516/0001-88;2020-05-23;CONTAGEM;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
135;UPA DEIBIRITÉ;18.715.516/0001-88;2020-05-23;IBIRITE;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
136;UPA THIAGOCARDOSOSANTOS;18.715.516/0001-88;2020-05-23;MATEUS LEME;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
137;UPA OLDAKPINHEIRODEREZENDE;18.715.516/0001-88;2020-05-23;SARZEDO;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
138;UPA VALDEMARDEASSISBARCELOS;18.715.516/0001-88;2020-05-23;BRUMADIMNHO;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
139;UPA JOSÉISABELDONASCIMENTO;18.715.516/0001-88;2020-05-23;IPATINGA;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
140;UPA NORDESTE-BELOHORIZONTE;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
141;UPA SÃOJOÃODELREI;18.715.516/0001-88;2020-05-23;SÃO JOAO DEL REI;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
142;SEGOV-SECRETARIA DEESTADODEGOVERNO;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;ALCOOL GLICERINADO 70% - GALÃO 5L;10;LT;2,83;28,3
143;SEGOV-SECRETARIA DEESTADODEGOVERNO;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;LUVA DESC NITRIL AZ M CX C/300 VLI;900;UN;0,27;243
144;SEMAD-SECRETARIA DEESTADODEMEIOAMB;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;MASCARA DE PROTEÇÃO FACE SHIELD;300;UN;0,01;3
145;CEDEC - CORDENADORIA ESTADUAL DE DEFESA;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;CESTA BÁSICA VLI;2000;UN;36,37;72740
146;SANTA CASA DE CARIDADE DEFORMIGA;18.715.516/0001-88;2020-05-23;FORMIGA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
147;UPA FORMIGA;18.715.516/0001-88;2020-05-23;FORMIGA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
148;CENTROINTEGRADODE SAÚDE SAOBENTOMENN;18.715.516/0001-88;2020-05-23;DIVINÓPOLIS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
149;COMPLEXODE SAÚDE SÃOJOÃODEDEUS;18.715.516/0001-88;2020-05-23;DIVINÓPOLIS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
150;UPA FORMIGA;18.715.516/0001-88;2020-05-23;FORMIGA;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
151;HOSPITAL INFANTILJOÃOPAULOII;18.715.516/0001-88;2020-05-23;BELO HORIZONTE;LEITE UHT INTEGRAL 1L CX C/12;2500;UN;2,219;5547,5
152;CASADE SAÚDE SANTAIZABEL;18.715.516/0001-88;2020-05-23;BETIM;LEITE UHT INTEGRAL 1L CX C/12;2500;UN;2,219;5547,5
