Area,Quartos,Preco
253,1,6156.137825799259
254,1,6515.527488141969
155,3,5151.523222039781
159,5,5745.3758941590995
82,2,3242.0915576482857
201,4,6076.015631452866
247,2,6388.131737300296
189,5,6024.59026904166
227,1,5452.203570917866
276,1,6365.450279144423
232,5,6689.156385647262
213,1,5267.453844368768
152,1,3976.692987668181
284,1,6904.096861864179
127,4,4578.826302142627
227,4,6362.101721572962
269,3,7299.382520263815
173,2,4474.577721466624
126,5,4521.58513518007
230,5,6470.794419849299
153,5,4643.365845731735
216,3,5849.329828539325
288,4,7529.563122904179
177,3,5468.362435810533
281,5,7827.702921138694
176,2,4563.953293917699
177,1,5053.523141583547
228,4,6665.258423881338
157,4,5085.524425867154
68,3,2853.378975287542
158,4,4720.14019081913
296,5,7876.948305982237
180,5,5922.187154926047
128,3,4581.146576483652
292,5,8275.810882068046
281,2,6797.787644553431
173,3,4730.095641677747
141,2,4155.221561727801
89,1,2387.890158609287
31,2,2000.7919285461953
283,1,6673.099353425333
169,1,4313.490874532939
66,2,2221.324233183301
189,3,5458.400026642429
38,5,2676.824790084522
262,5,6997.5207910724275
128,1,2891.934446679588
176,1,4563.121273737341
237,3,6733.062899167436
160,4,5415.314803636968
181,2,4805.725935853432
83,1,2559.446984909555
149,5,5147.193564018756
190,3,5100.403640202927
145,2,4275.447974954866
104,3,3821.5200695961726
142,2,4446.733305971077
133,2,3934.961480880012
283,1,6659.081562455758
256,3,6450.50435331086
141,3,4163.279911490035
128,5,4553.380277024618
182,5,5781.841376704045
223,1,5738.396156558312
192,1,4689.205262329914
237,4,6913.1721422398805
198,5,5942.219099739358
190,2,5094.658176412891
97,3,3303.197080213044
164,1,3723.9399349317646
224,3,6251.011349090262
157,3,4874.210974273108
62,4,2969.6681107204467
205,5,6166.747679306218
51,1,2198.9848044260248
267,3,6499.363535778364
187,1,4657.736830663426
67,2,2838.5661699054567
259,4,6666.427644207688
80,2,2973.3894830416575
293,1,6570.854548844149
56,1,2286.6074956083817
255,5,7141.089629425629
126,3,3666.2170460236225
176,3,5361.184838614293
33,2,1776.3521058004876
64,4,2877.436890746405
221,3,6020.142299307736
78,5,3897.1593373571786
46,2,1966.0445452554009
201,2,5335.419962461993
249,5,7137.204125082643
187,4,5713.276401815786
75,5,3594.110388819306
35,4,2408.2430402291693
128,5,4403.10244483782
262,5,7311.5359707615935
66,1,2101.965247003598
210,2,4769.662379126348
124,5,4639.139951039417
128,5,4835.983710271549
217,3,5299.26689111454
145,2,3947.5673238225154
220,3,6104.7885652513
282,2,7454.373867427925
190,3,5355.198426918852
285,5,7567.999264692717
157,5,5144.27588972379
47,1,2333.719104787046
252,3,6428.5089552188665
83,4,3260.2019983374366
87,1,2669.314119454492
203,3,5371.667847935322
143,3,4440.667578998698
180,1,5056.16961461739
156,5,5250.769818279007
184,3,5166.911624468428
133,5,4637.047182771114
275,1,6159.202297825836
205,5,6370.777444286789
68,2,2640.5407007467993
199,4,5734.880021602344
276,3,7868.276891961215
55,4,2974.6882270914216
42,5,2702.052237476204
65,3,2743.410600948614
202,5,6377.111427299189
49,2,2308.3176026344413
293,1,6550.430505420658
171,3,5199.807233643801
172,2,4572.963978615251
121,2,4188.324444054387
244,3,6700.012016428662
80,5,3538.169526085312
182,2,5260.254090433778
215,4,6116.963877631851
92,2,3353.193418780555
219,5,6551.183204323619
154,5,4918.410836252282
179,4,5219.112541920635
87,2,3297.49020439529
209,5,6146.306166973365
199,3,5429.087884189501
83,1,2471.219355162662
130,1,3755.899766398365
293,1,7425.631229810786
82,2,2673.116771436432
89,4,3586.0548641681894
137,5,5143.055138853857
34,3,2210.089652188571
132,3,4303.092949062433
225,2,5534.40161796328
291,1,6977.076774301912
76,2,2773.213933748863
173,4,5506.432498919966
298,4,8056.846512891188
153,5,5757.390910504653
135,5,4894.908293303394
187,4,5621.449079145542
176,4,5368.596075394334
174,4,5191.708426797328
149,2,4364.620960865423
121,4,4146.149647465242
87,3,3332.1152440674036
258,1,6539.3993839019895
146,4,4468.36435868009
156,1,4454.969640282261
158,2,4789.2787668349665
87,1,2760.48286825223
151,2,3789.5362752478513
30,3,1998.044503226392
268,2,6984.248636640277
125,2,3794.2829844252797
155,5,4900.174441926272
147,4,4613.8062696929455
77,4,3550.1550066261384
118,3,4046.683392050345
266,3,6810.266975207576
218,4,6068.293897046328
221,5,6372.060462739045
98,4,3529.3974538753746
276,5,7973.84392236736
105,3,3569.419882697165
183,1,5014.289630206375
173,3,5390.329012980613
115,3,4099.57772453699
214,2,5472.094921820488
249,2,6380.932522584152
98,2,3253.951098402271
76,2,2594.074534817468
123,5,4591.0898204304
267,4,6845.24005221005
233,1,6006.919847115391
247,3,6373.845675675402
68,5,3460.28991396821
129,1,3700.8219678865357
283,5,7645.273756573981
251,5,7216.6734503688185
52,3,2471.274085844369
279,4,7597.824324364311
39,2,1743.505079938313
275,4,7331.594894886603
129,3,4614.732249764571
209,3,5479.917168848607
252,3,6420.563757368787
279,1,6758.476962414728
176,4,5364.8954454849
125,4,4387.65752481839
286,5,7892.296782536916
33,5,2868.6803671404423
45,5,3227.4249604890556
276,3,7172.454664232128
287,4,7479.685586345365
189,3,5498.143425300683
181,1,5144.970483723804
207,5,6156.841563404357
192,3,5146.367673832339
62,3,3066.7701673217434
208,1,5179.9047090116
130,2,3356.832613496491
297,4,7951.855419287605
94,2,3046.1679535115195
197,5,5967.36667942396
72,3,3072.9950826422537
73,1,2557.6249199447666
41,1,2047.3629542847598
124,4,4171.128407357539
282,2,7068.276449544021
271,4,7155.113330604021
64,3,3014.702620221876
244,4,6833.841871003264
119,1,3196.140324488851
293,1,7181.495529043758
122,5,4356.009138721488
119,5,4632.014449570286
144,3,4521.821828350335
134,2,4439.54591919878
225,4,6244.1335044070365
143,3,4322.670800970451
104,5,4125.145098528067
246,4,6644.205054291431
278,5,7809.985475485512
193,4,5255.922347890853
221,2,5456.579395213412
256,3,6403.0492696052015
206,4,6157.576897993394
128,1,4037.6533431454814
65,1,2323.887695365632
125,4,4257.794569202498
181,4,5437.513040778295
180,4,5690.469575652048
219,1,5198.161716452357
253,1,6169.592245683696
66,4,3363.7994074456074
297,5,8115.273542484962
212,5,6337.395404149685
42,2,2390.2615231417853
246,3,5794.191926750191
91,5,4039.468829882727
113,1,3146.4810792181443
246,5,6512.341775785886
216,2,5747.800649881246
48,2,2603.4146362907395
206,3,5635.637871343077
129,5,4868.218636800735
262,1,6693.069564497161
105,1,3478.728613396012
294,4,8089.991132342848
235,1,5935.531872767973
252,3,6608.858409725398
81,3,2769.5085470257077
173,1,4448.484377967513
98,1,2799.188351170952
128,4,4902.735679374453
54,1,2086.028546891916
82,4,3470.8012016961216
180,4,5537.871344010116
173,1,4520.900611593113
86,2,3443.7627601076883
68,2,2504.337659566387
138,4,4608.65186380931
210,1,5064.382353575488
71,2,2389.9943721948234
215,1,5197.057727273678
252,1,6080.740800737897
151,1,3962.674443870685
162,5,5116.894755031536
192,1,4538.420634082042
244,5,6909.2236068428265
250,4,6423.819906492249
264,2,6770.013990922401
175,2,4820.609938233626
268,2,6295.612125133767
105,2,3322.697730737534
38,2,1871.9608986023543
103,2,3439.793627604795
282,2,7275.112611505786
259,4,6511.2068825885635
36,1,1798.7565197868544
203,3,5569.9668011083395
170,5,5617.8350191126165
197,3,5543.299157059422
199,3,5342.007667065295
151,1,3990.2365160833456
223,1,5310.993535799128
34,1,1999.0017846496496
58,2,2465.3279121679857
194,4,6155.297671438252
165,2,4584.8347965463445
174,4,5102.898308272384
246,4,6341.571401846793
161,3,4319.215080936014
99,3,3133.9660142486277
281,4,7486.781662752871
211,4,6147.1812558074835
196,2,4824.7023244919665
120,2,3923.7595785190288
231,3,6049.23473707914
48,1,2046.6982529963873
68,4,3563.0551570638563
155,2,4624.209828966383
202,3,5522.867338023542
170,2,4477.201943646178
271,4,6682.0461496676735
249,4,6600.211670189395
155,5,5097.217440293077
87,1,2543.205118212204
177,5,5557.185758226924
30,3,2169.212970739692
219,2,5623.78600454798
220,3,5787.499354794135
146,4,4762.163667991682
163,5,5420.485162392352
87,5,3517.4002306392886
73,5,3862.7330949365673
202,3,5565.352966928935
189,4,5584.712405736212
202,2,5517.05360581414
178,2,4918.304032815875
109,3,3968.2841584783114
242,5,6961.781041300456
232,1,5536.8906563398905
281,3,7260.375881301526
258,3,6424.0684481698345
193,4,5687.139926444131
256,2,6411.692502338885
176,3,5017.970785681865
49,3,2497.8656221402675
76,5,3099.5377386255905
262,5,7152.81877306476
43,1,1933.2112252852787
172,4,5279.96409799935
30,1,1393.0812147685106
83,5,4026.4269602161753
288,2,6843.456287946375
173,5,5752.364300131684
41,4,2726.7985904679213
253,5,6948.44317253905
185,4,5943.827723152378
37,4,2241.59079206088
151,4,5049.7885434025
193,4,5910.145579510745
119,4,4012.3449477308386
165,2,4948.116325016083
215,1,5287.488371350262
207,3,5762.173407319964
57,1,2255.080459692805
249,4,6746.422814632363
70,2,2902.7020682899456
257,5,7388.372180138053
221,2,5282.867006690455
174,4,5606.085060719538
230,2,5484.377002991081
241,2,6378.136551085414
249,4,7061.676284206896
269,2,6407.258392446201
75,3,2947.296428011354
64,3,2553.573832878516
282,2,6886.269742427816
111,5,4192.9914289535645
285,4,7694.915133067335
226,3,6397.577186529902
39,5,3178.920952697489
271,2,6579.457993355424
280,5,7597.694531563868
34,1,1309.1404519447624
148,3,4308.532483375953
94,2,3421.2129082743645
175,4,5703.895705887058
253,2,6051.412782030019
268,4,7011.883935211777
206,2,5413.398560760268
296,5,8040.040289704902
92,5,3687.5991200195886
246,5,7076.015261116023
206,1,5051.540163232271
127,4,4336.38693228043
134,5,4866.571062000925
128,1,3611.6055674527342
35,4,2390.903527368358
226,2,5792.597549018542
162,1,4267.909260198666
288,3,7217.497242529468
52,1,2025.3009843332245
82,1,3089.6617926261792
194,4,5820.22986198531
231,2,5846.12992049271
112,3,3964.238601127684
174,5,5446.545127560998
114,5,4623.28115939666
107,1,3282.4105480495236
30,4,2373.174463998943
80,4,3511.929231452569
202,5,5697.280961982875
234,3,5948.308132772549
289,2,6781.518748400236
63,3,2845.7357736909266
124,2,4213.128749871273
101,5,4627.825036548158
68,2,2819.512775360189
183,4,5585.211118736114
279,1,6179.735566461815
191,1,4734.331550066495
147,5,4793.05406202294
288,4,7404.788100437221
297,3,7447.964045353802
83,4,3341.9773555757183
265,1,5855.175047406053
251,1,6256.977564029384
280,4,7131.814243565048
141,4,4679.811716027787
284,1,7248.520667437493
236,3,6040.1538521033945
258,5,6577.4281193134175
95,5,3878.4989445299725
104,4,4155.239908749642
132,5,5179.586863555149
221,1,5162.612601386896
281,1,6794.174805809131
255,4,6783.672385804986
127,4,4313.512911423966
278,4,8021.085836754259
195,3,5074.257417901212
59,5,3293.4349153736434
276,4,7436.923292941358
135,2,4271.446581234837
80,2,2924.495788367724
110,1,3327.0126348760255
162,5,5192.087858144552
167,4,5207.281735311277
213,2,5474.201931125647
98,5,4165.392972464013
63,1,2217.5974159890916
291,3,7464.275098475547
82,5,3682.6842965787555
234,5,7011.512562693042
155,3,4637.151569102878
264,5,6886.741882948279
72,1,2805.480375178498
269,1,6203.566924784345
140,3,4186.558415337795
278,4,7211.084676489127
180,2,5243.609523292705
212,4,5506.081446505326
124,5,5314.437133414998
37,2,2304.014202266513
213,3,5865.80972853229
224,3,6016.276499845929
224,2,5851.388518714414
184,1,4860.2806070948345
122,2,3901.303896487514
189,5,5968.901116500862
90,1,2872.3951703138123
151,3,4520.665394923169
80,2,2862.181679086622
34,4,2431.2729299118296
121,4,4503.442524216766
199,5,6178.389180570215
51,4,2084.90284133393
30,2,2063.9751941324403
162,2,4588.684048679694
262,4,7035.322810888526
41,2,2022.8703867277786
75,5,3831.0281799965032
63,1,2546.8816155307145
107,5,3996.7805830440975
247,5,7091.7630717811335
102,2,3097.0858163646785
278,1,6265.095458802767
76,2,2663.3206938525086
150,3,4765.59836809569
243,2,6398.281261344022
268,2,6788.271355024323
85,2,3181.273946711999
136,1,3899.0445717787397
77,2,2679.629601194262
90,1,2957.980636168485
55,4,3100.1023813069205
286,3,7458.572832453394
37,1,2087.2283428686605
142,4,4817.075961800266
282,1,6777.862051885396
209,1,5497.5375595791065
236,3,6263.369685187735
156,5,4949.531337193071
85,5,3709.233259014059
243,1,5723.774338798387
43,2,1991.2054312564046
57,4,2903.8703323211207
107,2,3241.89501975001
245,2,6123.00961759024
183,1,4236.596333261554
43,1,1963.3234268432348
216,1,5370.301368840556
36,1,1565.7278422329523
32,5,2854.811417108101
140,1,4084.3925344066397
267,5,6988.110033907757
268,5,7219.318805358446
256,1,5977.714412553176
44,3,2195.024224722784
221,4,6427.368710482937
148,2,4211.543465306799
57,5,3123.8712896723473
231,4,5919.034408898312
68,3,3068.8545075523066
260,2,6190.1854012866315
115,2,3614.983157566582
155,5,5219.3442344895475
54,1,2470.164648959663
174,3,4702.794900220222
42,5,2135.121961044794
241,3,6415.962386188424
54,1,2580.1277953777135
97,1,3299.7365882348595
96,5,4022.4148538186564
262,1,6167.090953591988
138,4,4761.780649159327
175,2,4556.613450073883
140,5,4969.089442339055
257,3,6816.367539791657
140,4,4865.05247687472
63,5,3999.9150097277693
140,1,3948.103991794692
293,1,6782.759093573125
265,1,6343.606421952001
112,1,2847.7310237777206
71,3,2796.3217172277355
130,4,4297.679390471724
35,2,1868.9779005163518
209,3,5768.08871800843
255,3,6444.39501690445
258,2,6740.257666831118
179,2,4880.05176622955
227,1,5587.674919715347
99,3,3448.0263208717706
141,5,4908.797670964745
33,2,2166.2745661669087
124,2,3563.217446072275
181,4,5255.470877731186
166,5,5294.068492805834
276,5,7233.532269131696
272,2,6535.185535069626
60,1,2130.9447816138354
69,4,3398.597295178182
258,5,7275.640332250481
65,2,2648.397477841886
252,5,7302.724490541993
35,4,2465.657052900151
249,4,6877.616212482222
104,3,3604.1945617668757
33,2,2026.340587349907
163,4,4914.310335597104
147,3,3880.2957104308925
123,3,3976.430209453424
91,5,4225.687034024985
223,5,6741.553850560398
232,3,6431.349371147793
55,5,3459.0326804515544
202,4,5862.164397740359
162,1,4339.328926851399
147,4,4585.587026141412
241,3,6290.981785993237
254,3,6783.942787442786
49,4,3080.971109292204
142,5,4855.13843107975
169,5,5317.452683787147
76,3,3070.1319897141493
30,2,2050.3016872322787
119,5,4069.0362959666145
171,4,4645.95476171569
67,5,3252.365787627104
168,4,4854.82189352146
288,3,7182.9649505881725
190,5,5813.054920295632
207,4,5826.687897744247
39,3,2693.116883617686
290,2,7181.68619115058
167,4,5215.118589902707
201,2,5475.55178601085
42,2,1855.2917205548079
197,1,5249.777946855067
159,5,5211.058928366135
113,4,4227.620154310303
130,2,3632.0356917399613
294,1,6541.560308495984
67,3,3094.4724145062573
123,4,4354.102381524379
124,2,3554.487111410622
98,5,3792.584229681326
265,1,6631.358696103693
166,2,4322.647026783168
105,5,4560.6682383139905
64,2,2354.8448163380326
30,4,2559.5979814020957
89,4,3497.845381062754
296,4,7870.796857770586
258,1,6073.971499471452
299,4,7739.301773481927
242,5,6900.22979384893
194,2,4929.453136054632
34,3,2415.2060863550314
107,5,4061.6966083821035
91,5,3812.8500211649953
161,4,4771.412656347872
118,1,2769.4165853011723
266,2,6572.243059349958
71,1,3073.153855403229
118,2,3856.151071974506
133,2,3955.1849050664014
43,1,1844.277292697933
208,5,6215.616473203012
154,2,4516.7797787938025
52,1,1794.7967961727888
92,2,3418.580423667218
172,3,5168.845328860311
182,5,5869.546431426984
174,4,5389.618934702432
254,2,6384.904164423498
133,3,4378.215308991705
133,4,4607.953533435344
68,4,3071.489822264744
227,2,5696.5995567757745
163,1,4335.464073815497
96,2,3607.255037873797
208,3,5400.223231086525
71,4,2853.11868356189
44,2,2221.1902103091293
140,1,3862.7219254640045
186,2,5063.335416092602
260,5,7310.988299477125
186,1,4714.199436341299
67,3,3262.4658596505205
126,4,3919.774005380871
283,2,6752.875743804939
225,1,5524.186309962738
115,5,3939.2027972114583
39,1,1786.0363988919821
34,5,3145.3675414320046
152,3,4595.22162207399
147,4,4797.675226429671
188,3,4994.958808706855
257,2,6285.909647990131
245,1,5856.200904919016
213,5,6230.5712258109415
44,5,3250.410948750942
186,1,4909.422765181281
165,1,4072.135510765742
290,2,7161.626194608001
186,3,5394.555437124196
76,5,3855.037259630317
202,2,5735.135171642093
159,3,4476.226452043033
124,2,3577.2856221974153
144,5,4615.605535271346
272,1,6431.4950352232545
98,1,3126.5895936115835
177,3,5336.833629147275
40,4,2581.0122440893692
283,3,7130.038119186289
67,4,3177.939498062185
163,2,4351.214274592494
229,2,6402.384680423694
52,5,2688.0847432204855
247,4,6786.185144723931
170,5,5955.901554807409
133,1,3711.6999611399992
239,4,6532.490241249627
140,3,4260.6386442973935
133,1,3664.902079559398
200,1,5393.212118669133
162,3,4237.034522167623
156,1,4553.3584253240815
135,4,4144.010711887464
121,5,4403.336917691397
80,1,2542.6888949253344
58,4,3107.13831744268
243,2,5760.468912029063
296,4,7835.543166520486
286,5,8276.077405821714
130,4,4059.2064988517973
139,3,4377.426541902599
211,5,6104.5044555508475
30,2,2006.471801548259
84,3,3234.786944353938
178,4,5199.6282727389225
166,5,5491.968071217769
231,2,6371.087027446686
146,3,4422.2740520681755
183,2,5139.939485537046
92,4,3316.681760532209
273,2,6520.890905795498
54,1,2248.1015694700945
119,3,4301.029007133991
104,2,3468.903337196415
239,4,6501.735492369211
46,4,2719.8228513558383
157,2,4127.398066507571
280,4,7551.128831588841
208,5,6430.583265580853
211,5,6156.97741679173
181,5,5552.489463060125
54,1,2196.469557413012
209,2,5370.820065989851
227,1,5573.466846343545
190,4,6124.930447291629
206,1,5108.243574813501
92,4,3550.4149619946943
179,4,5218.11454859121
183,3,5396.047992874985
185,5,5704.693956695474
78,4,3197.6567404196435
113,3,4140.326008068253
206,5,6524.900751128409
177,4,5189.894108565324
147,4,4273.365012159846
92,1,3141.8784224592305
218,1,5238.842543559999
78,5,3807.6563997906924
286,4,7027.474045572041
253,2,6583.149334574828
170,1,4147.207017679804
244,5,7112.691029766631
240,4,6603.568266959109
61,4,2781.5151451508386
187,2,4938.240921768305
173,5,5681.5796142391755
48,4,2786.4736132788084
47,1,2136.103245118121
286,2,7514.110146128872
107,5,3798.939597072237
204,2,5784.303143742156
223,1,5536.088984380804
142,5,4665.303987919218
143,2,3827.4215935652524
251,3,6522.719902305742
195,1,5180.412527981115
161,1,4238.112719905616
293,1,7287.788732561837
84,3,2867.20607748711
160,3,4746.977763038486
295,4,7386.90163889672
191,2,5210.907970656242
116,4,4341.721847524325
84,2,2874.8095515797368
207,3,5038.946535843216
37,3,2339.7370366991236
276,4,7429.184637933377
284,5,7831.073688740425
83,4,3768.9455479555386
278,2,6592.236580087738
268,4,7330.054026362613
258,1,6508.126878119494
96,2,2775.353103998371
80,2,2979.9129564797445
126,5,4443.9550422480825
121,3,3949.6193317245884
293,2,7246.919120884584
125,3,3928.1928589716117
117,4,3971.072980209597
107,1,3198.5381043720063
149,5,4758.1885152843
194,3,5158.5437177787035
211,2,5689.843320739126
252,3,6302.801491210336
36,2,2186.5781252273027
292,3,7505.647823213488
190,2,4668.5483178023505
180,4,5230.608836916086
114,2,3878.527350761843
176,2,4574.708617215079
141,1,3753.898934422653
65,2,2715.5152233129743
217,1,5585.847627320649
111,5,4207.115278488876
31,1,1520.6224513270895
226,4,6675.592465424627
40,1,2284.724915949395
263,5,7554.714512695449
224,4,6301.329535641256
148,3,4307.933569589768
49,3,2322.3888983608585
290,1,6980.628526316439
285,1,6854.599555222171
251,5,7420.399648236607
255,5,7312.612523134035
82,2,2564.2299245600457
110,5,4512.98690443073
231,2,5670.484843171397
187,4,5444.007182011912
149,1,4092.5500515629237
88,4,4058.916872445991
244,5,7707.47963900134
157,4,5091.680764784046
253,4,6814.200845319903
238,4,6693.6264121201375
144,5,5151.913856468459
238,4,6479.833093610702
43,2,2608.8028389780807
38,5,2867.5176897978504
69,4,3304.4357722728487
266,5,7536.481063013615
230,3,6255.396652653614
275,2,7009.735125117403
264,4,6925.686703363269
33,3,2070.4245615134923
183,3,4934.9614417570765
58,5,3319.8753076550565
138,3,4504.734125878029
127,2,3954.4432165379712
244,2,6598.623108336884
104,1,3128.6009952927384
175,2,4967.185413898128
157,3,4417.074780965171
71,2,2623.2250743813997
70,5,3623.884439391444
63,1,2522.275527685786
46,3,2396.5082630839543
194,1,4912.100187035483
182,3,4810.531563329798
105,5,4060.7426997983475
116,1,3592.5957908799464
146,4,4863.801254026642
